학원명,주    소,총부지면적(㎡),교육생정원(명)
(김천)중앙,경북 김천시 아포읍 송선로 140,"7,686",168
영강,경북 문경시 산양면 과상2길 17,"10,052",96
경주현대,경북 경주시 현곡면 용담로 413-3,"13,920",238
경주제일,경북 경주시 천북면 산업로 4566-21,"24,388",140
(영주)영남,경북 영주시 조암로 89,"7,541",48
최신,경북 구미시 고아읍 원대로9길 11,"7,867",356
화성,경북 안동시 앙실3길 19,"9,883",96
(영천)중앙,경북 영천시 천문로 502,"9,951",48
(청도)화양,경북 청도군 화양읍 북문길 46,"8,307",84
경산수성,경북 경산시 임당로 106,"13,319",270
포항경북,경북 포항시 남구 연일읍 연일로 143,"6,650",228
영주제일,경북 영주시 장수로 300,"8,529",112
(구미)인동,경북 구미시 인동가산로 384-26,"9,927",228
(경산)고려,경북 경산시 압량면 압독1로 13,10330,80
(청송)문화,경북 청송군 진보면 신촌갈평길 228-11,"7,808",48
(구미)남구미,경북 구미시 오태1길 74,"8,644",148
(칠곡)우리,경북 칠곡군 북삼읍 경호천서길 72,"9,181",105
(주)경포,경북 포항시 남구 동해면 약전로115번길 69,"8,233",80
(구미)공단,경북 구미시 옥계2공단로 238,"8,342",171
포항현대,경북 포항시 남구 오천읍 철강로 862,"8,730",105
왜관,경북 칠곡군 약목면 무림4길 41,"14,008",144
(울진)제일,경북 울진 울진 연지 741-2,"8,431",96
옥동현대,경북 안동시 쉼텃길 62-9,"9,445",96
(포항)흥해경북,경북 포항시 북구 흥해읍 덕실마을길3번길 62,"12,745",108
함양,경남 함양군 함양읍 함양남서로 996-11,"14,578",195
창신,경남 진주시 대신로196번길 20,"8,285",165
한려,경남 통영시 광도면 남해안대로 1130-19,"6,865",135
고성,경남 고성군 고성읍 남해안대로 2305,"9,709",84
삼천포,경남 사천시 삼천포대교로 566 ,"7,917",140
거창,경남 거창군 거창읍 죽전4길 119-22,"9,093",112
밀양,경남 밀양시 부북면 청운로 200,"13,969",126
거창현대,경남 거창군 거창읍 새동네2길 53,"11,087",112
거제,경남 거제시 제산로2길 11,"18,507",378
남해,경남 남해군 이동면 남해대로 1607,"9,583",112
대우,경남 양산시 동면 지당길 6-1,"8,584",55
동창원,경남 창원시 의창구 동읍 동읍로 234-1,"10,793",496
창녕,경남 창녕군 창녕읍 탐하로 254,"9,982",98
도원성,경남 진주시 남강로 155-26,"11,131",168
서부경남,경남 진주시 금곡면 정자천로15번길 15,"10,919",140
한일,경남 김해시 분성로3번길 235-34,"10,640",304
사천,경남 사천시 용현면 공단4로 28-36,"14,275",156
옥포,경남 거제시 옥포대첩로 272-13 ,"8,745",96
밀양현대,경남 밀양시 용평로 79 ,"9,999",168
마창,경남 창원시 의창구 팔용로 315,"9,997",432
풍원,경남 양산시 용주로 21,"23,288",112
하동,경남 하동군 하동읍 화심길 116,"7,875",120
한백,경남 창원시 마산합포구 진동면 삼진의거대로 830,"26,471",368
신세계,경남 통영시 광도면 남해안대로 1160-60,"12,670",224
국제,경남 양산시 덕계북길 25,"10,081",221
김해(2),경남 김해시 김해대로 2569,"8,758",210
장유(2),경남 김해시 주촌면 금관대로 751,"32,016",544
창원,경남 창원시 의창구 차상로150번길 78 ,"8,487",360
남양산,경남 양산시 동면 남양산2길 26,"10,444",132
부림,경남 창원시 마산합포구 진북면 진북산업로 142 ,"12,049",256
정오,경남 진주시 대신로 642-34,"9,842",140
부성,경남 창원시 진해구 어은로 32 ,"8,786",126
대성,경남 양산시 상북면 양산대로 1266,"12,169",120
제주,제주 제주 도남,"13,383",192
제일,제주 서귀포 상예 1728-1,"8,980",140
삼다,제주 제주 봉개 234-33,"9,660",182
현대,제주 북제주 애월 광령2리 2811,"13,570",117
원영,제주 남제주 남원 위미리 60-1,"11,155",135
한라,제주 제주 아라2 1320,"9,003",210
탐라,제주시 오라이동 1998-1,"6,650",220
